
V,I
0.01,1.067
0.042,1.017
0.072,0.9633
0.102,0.917
0.125,0.875
0.147,0.843
0.175,0.795
0.205,0.7485
0.234,0.7063
0.269,0.6548
0.3,0.6136
0.317,0.59
0.356,0.5375
0.386,0.5
0.411,0.4677
0.42,0.4577
0.446,0.4257
0.473,0.395
0.504,0.36
0.529,0.3311
0.56,0.2986
0.587,0.2705
0.613,0.245
0.636,0.2224
0.665,0.194
0.704,0.1592
0.734,0.1332
0.762,0.1105
0.784,0.0931
0.819,0.06858
0.852,0.0478
0.88,0.03241
0.897,0.02458
0.922,0.01371
0.937,0.00841
0.96,0.00096
0.973,-0.0028
0.994,-0.008
1.014,-0.012
1.033,-0.0154
1.052,-0.018
1.079,-0.0211
1.1109,-0.0234
1.13,-0.0245
1.149,-0.02542
1.167,-0.02605
1.188,-0.02651
1.207,-0.02692
1.224,-0.02714
1.244,-0.02743
1.26,-0.02765
1.286,-0.02801
1.302,-0.02811
1.332,-0.02827
1.356,-0.02835
1.37,-0.0284
1.391,-0.02845
1.412,-0.0285
1.433,-0.02863
1.448,-0.02865
1.467,-0.02871
1.485,-0.02876
1.508,-0.0288
1.542,-0.029
1.566,-0.02901
1.582,-0.0292
1.602,-0.0292
1.62,-0.02875
1.645,-0.0293
