
V,I
0.01,0.02595
0.031,0.02209
0.05,0.01889
0.066,0.01698
0.07,0.0165
0.087,0.01466
0.107,0.01298
0.119,0.0122
0.141,0.0108
0.153,0.0101
0.173,0.00924
0.197,0.00832
0.226,0.00738
0.248,0.00676
0.269,0.00621
0.296,0.00558
0.328,0.00498
0.343,0.00463
0.361,0.00426
0.38,0.00391
0.404,0.00362
0.427,0.00323
0.44,0.00301
0.46,0.0027
0.478,0.00242
0.515,0.0019
0.545,0.00157
0.563,0.00137
0.585,0.00115
0.616,0.00088
0.636,0.00068
0.655,0.00052
0.673,0.00032
0.703,0.00003
0.731,0
0.755,-0.0001
0.777,-0.0002
0.797,-0.00033
0.822,-0.00043
0.835,-0.0005
0.869,-0.00057
0.924,-0.00079
0.947,-0.00085
0.962,-0.0009
0.99,-0.00097
1.022,-0.00101
1.052,-0.00105
1.084,-0.00113
1.134,-0.00119
1.164,-0.00125
1.198,-0.0013
1.228,-0.00137
1.248,-0.00141
1.27,-0.00142
1.301,-0.00138
1.321,-0.00136
1.341,-0.00139
1.372,-0.00149
1.396,-0.00141
1.428,-0.00145
1.457,-0.00149
1.508,-0.00154
1.544,-0.00153
1.578,-0.00154
1.613,-0.00155
1.665,-0.0016
1.696,-0.00159
1.718,-0.00162
1.76,-0.00162
1.82,-0.00163
