V(V),I(A),I uncertainty (A),,,,,,,,0-2
0.010,1.60165,0.00003,1.60168,1.60168,1.60162,1.60162,,,,365.00000
0.024,1.57155,0.00033,1.57132,1.57146,1.57137,1.57204,,,,435.00000
0.047,1.52738,0.00072,1.52632,1.52766,1.52764,1.52790,,,,546.00000
0.058,1.50281,0.00075,1.50204,1.50211,1.50243,1.50292,1.50346,1.50389,,577.00000
0.078,1.46353,0.00009,1.46350,1.46343,1.46364,1.46355,,,,404.00000
0.097,1.42671,0.00039,1.42619,1.42651,1.42667,1.42710,1.42710,,,577-2
0.119,1.38334,0.00037,1.38281,1.38315,1.38342,1.38368,1.38366,,,577-3
0.139,1.34405,0.00028,1.34395,1.34436,1.34383,,,,,
0.162,1.30094,0.00075,1.29987,1.30052,1.30181,1.30122,1.30127,,,
0.173,1.28024,0.00041,1.27962,1.28014,1.28064,1.28056,1.28024,,,
0.212,1.20675,0.00009,1.20664,1.20668,1.20684,1.20675,1.20684,,,
0.237,1.16149,0.00027,1.16119,1.16156,1.16171,,,,,
0.268,1.10767,0.00038,1.10708,1.10735,1.10811,1.10772,1.10782,1.10792,,
0.284,1.07839,0.00030,1.07805,1.07808,1.07861,1.07862,1.07858,,,
0.312,1.03023,0.00025,1.02986,1.03011,1.03033,1.03041,1.03046,,,
0.324,1.01004,0.00004,1.01000,1.01006,1.01007,,,,,
0.340,0.98407,0.00026,0.98404,0.98367,0.98386,0.98423,0.98435,0.98426,,
0.368,0.93735,0.00020,0.93737,0.93724,0.93715,0.93762,,,,
0.391,0.90029,0.00023,0.89998,0.90025,0.90042,0.90049,,,,
0.416,0.86000,0.00034,0.85936,0.86013,0.86018,0.86012,0.85989,0.86030,,
0.447,0.81164,0.00163,0.81218,0.81293,0.80981,,,,,
0.468,0.78114,0.00055,0.78154,0.78086,0.78166,0.78050,,,,
0.487,0.75253,0.00013,0.75234,0.75240,0.75254,0.75260,0.75270,0.75257,,
0.507,0.72262,0.00008,0.72255,0.72261,0.72256,0.72262,0.72276,0.72259,,
0.535,0.68213,0.00018,0.68185,0.68211,0.68214,0.68232,0.68224,,,
0.558,0.64967,0.00030,0.65009,0.64952,0.64942,0.64966,,,,
0.587,0.61023,0.00019,0.60992,0.61042,0.61022,0.61034,0.61026,,,
0.607,0.58407,0.00003,0.58406,0.58410,0.58404,,,,,
0.626,0.55925,0.00034,0.55888,0.55937,0.55908,0.55965,,,,
0.657,0.51904,0.00022,0.51917,0.51871,0.51930,0.51905,0.51899,,,
0.693,0.47473,0.00022,0.47435,0.47461,0.47493,0.47474,0.47491,0.47486,,
0.727,0.43365,0.00006,0.43365,0.43361,0.43367,0.43358,0.43373,,,
0.756,0.39983,0.00092,0.40036,0.40044,0.39847,0.40003,,,,
0.789,0.36287,0.00021,,0.36303,0.36262,0.36304,0.36277,,,
0.823,0.32537,0.00028,0.32545,0.32510,0.32553,0.32505,0.32570,,,
0.848,0.29877,0.00022,0.29858,0.29892,0.29857,0.29908,0.29870,,,
0.886,0.25945,0.00013,0.25927,0.25953,0.25943,0.25955,,,,
0.920,0.22552,0.00004,0.22549,0.22554,0.22557,0.22549,,,,
0.950,0.19668,0.00015,0.19657,0.19652,0.19688,0.19666,0.19679,,,
0.982,0.16744,0.00009,0.16748,0.16737,0.16735,0.16758,0.16740,,,
1.014,0.13926,0.00011,0.13918,0.13924,0.13926,0.13916,0.13944,,,
1.052,0.10861,0.00014,0.10846,0.10859,0.10856,0.10883,0.10860,,,
