V,I
0.011,0.036
0.078,0.02385
0.111,0.0201
0.164,0.0158
0.212,0.01288
0.28,0.01025
0.342,0.00839
0.355,0.0079
0.369,0.0075
0.435,0.00598
0.475,0.00492
0.529,0.00374
0.565,0.00332
0.6,0.00259
0.612,0.00238
0.639,0.00176
0.65,0.00167
0.679,0.00127
0.701,0.00098
0.72,0.00076
0.737,0.00054
0.758,0.00026
0.773,0.00014
0.782,0.00001
0.794,-0.00008
0.809,-0.00024
0.82,-0.0003
0.838,-0.00051
0.864,-0.00068
0.887,-0.00098
0.926,-0.00127
0.975,-0.00135
1.098,-0.00182
1.368,-0.00221
