Monochromator Step - Photons	Photons (cps) - Photons	Monochromator Step - Plot 1	Photons (cps) - Plot 1
4200	650	4200	650
4201	540	4201	540
4202	620	4202	620
4203	640	4203	640
4204	640	4204	640
4205	650	4205	650
4206	890	4206	890
4207	700	4207	700
4208	640	4208	640
4209	640	4209	640
4210	890	4210	890
4211	630	4211	630
4212	770	4212	770
4213	7780	4213	7780
4214	580	4214	580
4215	830	4215	830
4216	690	4216	690
4217	740	4217	740
4218	1880	4218	1880
4219	730	4219	730
4220	790	4220	790
4221	690	4221	690
4222	660	4222	660
4223	930	4223	930
4224	2050	4224	2050
4225	790	4225	790
4226	1140	4226	1140
4227	4510	4227	4510
4228	910	4228	910
4229	750	4229	750
4230	870	4230	870
4231	960	4231	960
4232	970	4232	970
4233	1260	4233	1260
4234	1290	4234	1290
4235	2330	4235	2330
4236	5520	4236	5520
4238	14170	4238	14170
4239	2480	4239	2480
4240	1890	4240	1890
4241	1810	4241	1810
4242	1290	4242	1290
4243	1690	4243	1690
4244	940	4244	940
4245	1080	4245	1080
4246	1170	4246	1170
4247	900	4247	900
4248	950	4248	950
4249	1010	4249	1010
4250	1050	4250	1050
4251	780	4251	780
4252	890	4252	890
4253	840	4253	840
4254	650	4254	650
4255	730	4255	730
4256	690	4256	690
4257	730	4257	730
4258	640	4258	640
4259	700	4259	700
4260	890	4260	890
4261	790	4261	790
4262	610	4262	610
4263	680	4263	680
4264	690	4264	690
4265	720	4265	720
4266	740	4266	740
4267	630	4267	630
4268	640	4268	640
4269	680	4269	680
4270	840	4270	840
4271	730	4271	730
4272	670	4272	670
4273	780	4273	780
4274	640	4274	640
4275	670	4275	670
4276	580	4276	580
4277	550	4277	550
4278	610	4278	610
4279	580	4279	580
4280	930	4280	930
4281	660	4281	660
4282	630	4282	630
4283	550	4283	550
4284	660	4284	660
4285	740	4285	740
4286	770	4286	770
4287	570	4287	570
4288	580	4288	580
4289	620	4289	620
4290	680	4290	680
4291	570	4291	570
4292	700	4292	700
4293	730	4293	730
4294	650	4294	650
4295	870	4295	870
4296	520	4296	520
4297	560	4297	560
4298	570	4298	570
4299	550	4299	550
4300	700	4300	700
4301	640	4301	640
4302	780	4302	780
4303	830	4303	830
4304	600	4304	600
4305	530	4305	530
4306	630	4306	630
4307	510	4307	510
4308	690	4308	690
4309	650	4309	650
4310	600	4310	600
4311	610	4311	610
4312	650	4312	650
4313	530	4313	530
4314	600	4314	600
4315	600	4315	600
4316	670	4316	670
4317	510	4317	510
4318	650	4318	650
4319	850	4319	850
4320	700	4320	700
4321	810	4321	810
4322	710	4322	710
4323	600	4323	600
4324	550	4324	550
4325	790	4325	790
4326	740	4326	740
4327	610	4327	610
4328	490	4328	490
4329	740	4329	740
4330	460	4330	460
4331	740	4331	740
4332	610	4332	610
4333	600	4333	600
4334	750	4334	750
