Monochromator Step - Photons	Photons (cps) - Photons	Monochromator Step - Plot 1	Photons (cps) - Plot 1
4200	290	4200	290
4201	310	4201	310
4202	250	4202	250
4203	350	4203	350
4204	380	4204	380
4205	220	4205	220
4206	400	4206	400
4207	270	4207	270
4208	300	4208	300
4209	330	4209	330
4210	330	4210	330
4211	230	4211	230
4212	330	4212	330
4213	1080	4213	1080
4214	380	4214	380
4215	270	4215	270
4216	250	4216	250
4217	320	4217	320
4218	610	4218	610
4219	350	4219	350
4220	420	4220	420
4221	280	4221	280
4222	280	4222	280
4223	260	4223	260
4224	620	4224	620
4225	340	4225	340
4226	440	4226	440
4227	1040	4227	1040
4228	360	4228	360
4229	480	4229	480
4230	410	4230	410
4231	640	4231	640
4232	580	4232	580
4233	570	4233	570
4234	510	4234	510
4235	760	4235	760
4236	2020	4236	2020
4237	249550	4237	249550
4238	3550	4238	3550
4239	750	4239	750
4240	600	4240	600
4241	520	4241	520
4242	350	4242	350
4243	560	4243	560
4244	340	4244	340
4245	370	4245	370
4246	280	4246	280
4247	320	4247	320
4248	360	4248	360
4249	330	4249	330
4250	430	4250	430
4251	440	4251	440
4252	360	4252	360
4253	430	4253	430
4254	380	4254	380
4255	340	4255	340
4256	500	4256	500
4257	300	4257	300
4258	270	4258	270
4259	240	4259	240
4260	420	4260	420
4261	360	4261	360
4262	330	4262	330
4263	410	4263	410
4264	250	4264	250
4265	360	4265	360
4266	360	4266	360
4267	440	4267	440
4268	320	4268	320
4269	290	4269	290
4270	430	4270	430
4271	230	4271	230
4272	250	4272	250
4273	320	4273	320
4274	360	4274	360
4275	340	4275	340
4276	280	4276	280
4277	310	4277	310
4278	310	4278	310
4279	310	4279	310
4280	400	4280	400
4281	290	4281	290
4282	260	4282	260
4283	380	4283	380
4284	320	4284	320
4285	360	4285	360
4286	360	4286	360
4287	380	4287	380
4288	300	4288	300
4289	280	4289	280
4290	310	4290	310
4291	340	4291	340
4292	150	4292	150
4293	340	4293	340
4294	350	4294	350
4295	330	4295	330
4296	220	4296	220
4297	330	4297	330
4298	320	4298	320
4299	490	4299	490
4300	360	4300	360
4301	220	4301	220
4302	340	4302	340
4303	350	4303	350
4304	280	4304	280
4305	380	4305	380
4306	460	4306	460
4307	420	4307	420
4308	430	4308	430
4309	420	4309	420
4310	290	4310	290
4311	280	4311	280
4312	370	4312	370
4313	380	4313	380
4314	320	4314	320
4315	380	4315	380
4316	350	4316	350
4317	360	4317	360
4318	430	4318	430
4319	360	4319	360
4320	360	4320	360
4321	460	4321	460
4322	330	4322	330
4323	410	4323	410
4324	320	4324	320
4325	280	4325	280
4326	350	4326	350
4327	280	4327	280
4328	290	4328	290
4329	330	4329	330
4330	520	4330	520
4331	290	4331	290
4332	420	4332	420
4333	410	4333	410
4334	380	4334	380
4335	440	4335	440
4336	350	4336	350
4337	300	4337	300
4338	260	4338	260
4339	300	4339	300
4340	290	4340	290
4341	330	4341	330
4342	330	4342	330
4343	310	4343	310
4344	260	4344	260
4345	360	4345	360
4346	360	4346	360
4347	300	4347	300
4348	240	4348	240
4349	260	4349	260
4350	410	4350	410
4351	330	4351	330
4352	330	4352	330
4353	310	4353	310
4354	390	4354	390
4355	370	4355	370
4356	220	4356	220
4357	310	4357	310
4358	260	4358	260
4359	270	4359	270
4360	310	4360	310
4361	250	4361	250
4362	350	4362	350
4363	340	4363	340
4364	300	4364	300
4365	370	4365	370
4366	310	4366	310
4367	300	4367	300
4368	420	4368	420
4369	420	4369	420
4370	380	4370	380
4371	300	4371	300
4372	260	4372	260
4373	290	4373	290
4374	310	4374	310
4375	240	4375	240
4376	380	4376	380
4377	350	4377	350
4378	220	4378	220
4379	310	4379	310
4380	380	4380	380
4381	320	4381	320
4382	270	4382	270
4383	410	4383	410
4384	220	4384	220
4385	290	4385	290
4386	310	4386	310
4387	380	4387	380
4388	310	4388	310
4389	650	4389	650
4390	280	4390	280
4391	330	4391	330
4392	380	4392	380
4393	320	4393	320
4394	290	4394	290
4395	340	4395	340
4396	380	4396	380
4397	300	4397	300
4398	340	4398	340
4399	410	4399	410
4400	240	4400	240
4401	660	4401	660
4402	330	4402	330
4403	330	4403	330
4404	250	4404	250
4405	340	4405	340
4406	430	4406	430
4407	400	4407	400
4408	420	4408	420
4409	360	4409	360
4410	360	4410	360
4411	220	4411	220
4412	460	4412	460
4413	310	4413	310
4414	340	4414	340
4415	400	4415	400
4416	370	4416	370
4417	240	4417	240
4418	450	4418	450
4419	420	4419	420
4420	430	4420	430
4421	330	4421	330
4422	470	4422	470
4423	230	4423	230
4424	230	4424	230
4425	330	4425	330
4426	320	4426	320
4427	330	4427	330
4428	320	4428	320
4429	460	4429	460
4430	340	4430	340
4431	320	4431	320
4432	370	4432	370
4433	210	4433	210
4434	380	4434	380
4435	320	4435	320
4436	350	4436	350
4437	310	4437	310
4438	320	4438	320
4439	290	4439	290
4440	320	4440	320
4441	230	4441	230
4442	260	4442	260
